courseid,classname,units,subject
AHS007,"World Art: Images, Issues, and Ideas",4,Art History
AHS008,Modern Western Visual Culture,4,Art History
AHS010,Topics in Art and Architectural History,4,Art History
AHS010S,Topics in Art and Architectural History,5,Art History
AHS013,Arts and Architecture of the Islamic World,4,Art History
AHS015,Arts of Asia,4,Art History
AHS016,Introduction to the Body in Western Art,4,Art History
AHS017A,History of Western Art: Prehistoric to Byzantine,4,Art History
AHS017B,History of Western Art: Medieval to Renaissance,4,Art History
AHS017C,History of Western Art: Baroque to Modern,4,Art History
AHS020,Introduction to Media Art,4,Art History
AHS021,Introduction to Architecture and Urbanism,4,Art History
AHS021W,Introduction to Architecture and Urbanism,4,Art History
AHS023,Introduction to American Art,4,Art History
AHS025,Art of Mesoamerica,4,Art History
AHS027,Art of Pre-Columbian America,4,Art History
AHS028,Art and Architecture of Latin America,4,Art History
AHS030,Rome: the Ancient City,4,Art History
AHS107,Photography Since 1960,4,Art History
AHS111,The Art and Architecture of Tenochtitlan/Mexico City,4,Art History
AHS112,The Art of the Aztec Empire,4,Art History
AHS113,Sixteenth-Century Mexico: An Art of Two Worlds,4,Art History
AHS114,History of Brazilian Art and Architecture,4,Art History
AHS115,Modern and Contemporary Art of Latin America,4,Art History
AHS116,Architecture and Arts of the Andes,4,Art History
AHS117,Visual Culture of the Incas,4,Art History
AHS120,"Berlin Metropolis in Literature, Film, Music, and Art",4,Art History
AHS124,Conceptual Art in Latin America,4,Art History
AHS125,Illustrations and Illuminations: the Arts of the Book in the Islamic World,4,Art History
AHS126,Sultans and Saints: the Visual and Material Culture of Islam in South Asia,4,Art History
AHS133,The Body in Western Art: Antiquity to Present,4,Art History
AHS135,Postmedia Art,4,Art History
AHS136,History of Video Art,4,Art History
AHS137,History of Experimental Cinema,4,Art History
AHS138,Arts of China,4,Art History
AHS139,The Arts of Buddhism,4,Art History
AHS140,Arts of the Silk Road,4,Art History
AHS141,The Mongol Empire: the World of Genghis Khan and His Descendants,4,Art History
AHS143,Text and Image in Chinese Painting,4,Art History
AHS144,Arts of Japan,4,Art History
AHS145,Contemporary Asian Art,4,Art History
AHS146,The Japanese House,4,Art History
AHS147,The Art of Greece,4,Art History
AHS155,Cultures in Conflict: Art at the Fall of the Roman Empire,4,Art History
AHS155,Cultures in Conflict: Art at the Fall of the Roman Empire,4,Art History
AHS156,Memory of Empire: the Art of Early Medieval Europe,4,Art History
AHS156,Memory of Empire: the Art of Early Medieval Europe,4,Art History
AHS157,The Medieval Pilgrimage and the Art of Romanesque France,4,Art History
AHS158,Self-Portraits: Renaissance to Contemporary Art,4,Art History
AHS160,Renaissance Architecture,4,Art History
AHS161,Italian Renaissance: Fifteenth- and Sixteenth-Century Florence,4,Art History
AHS162,Italian Renaissance: Fifteenth- and Sixteenth-Century Rome,4,Art History
AHS163,Renaissance in Venice: West Meets East,4,Art History
AHS165,"Women Artists in Renaissance Europe, 1400-1600",4,Art History
AHS167,"Europe in the Early Modern World: Global Artistic Contact and Exchange, 1492-1750",4,Art History
AHS170,Baroque Architecture,4,Art History
AHS171,"The Church, the Court, and the People: Art in Seventeenth-Century Europe",4,Art History
AHS172,Baroque Rome,4,Art History
AHS173,Rococo to Revolution: Art in Eighteenth-Century Europe,4,Art History
AHS175,Industry and Alienation: Late Nineteenth-Century American Art,4,Art History
AHS176,Twentieth-Century Photography 1900-1960,4,Art History
AHS177,American Art: Colonial Period to 1900,4,Art History
AHS178,The Modern City,4,Art History
AHS179,"Revolution, Reaction, and Revision: American Art Between the World Wars",4,Art History
AHS180,Modern European Art I: Nineteenth-Century,4,Art History
AHS181,"Modern Art II: Art in Europe, 1870-1945",4,Art History
AHS182,Visual Art and Visual Theory After 1945,4,Art History
AHS183,Photography On Display,4,Art History
AHS184,Modern Architecture,4,Art History
AHS186,"Media and Movements: Film, Video, Photography, and the Visual Arts",4,Art History
AHS188,Nineteenth-Century Photography,4,Art History
AHS189,(E-Z) Topics in Contemporary Art,4,Art History
AHS190,Special Studies 1 to,5,Art History
AHS191,California Modern Art,4,Art History
AHS192,Junior and Senior Seminar in Art History,4,Art History
AHS195H,Senior Honors Thesis 1 to,4,Art History
AHS198I,Individual Internship 1 to,12,Art History
AHS251A,Proseminar in Historiography,4,Art History
AHS251B,Proseminar in Methodology,4,Art History
AHS252,History and Ideology of the Museum,4,Art History
AHS260,Seminar in Latin American Art,4,Art History
AHS263,Seminar in Islamic Art and Culture,4,Art History
AHS267,Seminar in Asian Art,4,Art History
AHS272,Seminar in Medieval Art,4,Art History
AHS273,Seminar in Renaissance Art,4,Art History
AHS274,Seminar in Seventeenth- and Eighteenth-Century Art,4,Art History
AHS276,Seminar in Nineteenth-Century Art,4,Art History
AHS277,Seminar in Twentieth-Century Art,4,Art History
AHS278,Seminar in Modern Architecture,4,Art History
AHS279,Seminar in American Art,4,Art History
AHS280,"Seminar in Research, Critical Analysis, and Thesis Writing",4,Art History
AHS282,Seminar in New Media,4,Art History
AHS283,Seminar in History of Photography,4,Art History
AHS284,Seminar in Contemporary Art and Theory,4,Art History
AHS285,Getty Consortium Seminar,4,Art History
AHS286,Curatorial Seminar,4,Art History
AHS287,Curating as Critical Practice,4,Art History
AHS290,Directed Studies 1 to,6,Art History
AHS292,Concurrent Analytical Studies 1 to,4,Art History
AHS297,Directed Research 1 to,6,Art History
AHS298I,Individual Internship 1 to,4,Art History
AHS299,Research For Thesis Or Dissertation 1 to,12,Art History
AHS301,Directed Studies in the Teaching of the History of Art,3,Art History
ANTH001,Cultural Anthropology,4,Anthropology
ANTH001H,Honors Cultural Anthropology,4,Anthropology
ANTH001W,Cultural Anthropology,4,Anthropology
ANTH002,Biological Anthropology,5,Anthropology
ANTH003,World Prehistory,4,Anthropology
ANTH005,Introduction to Archaeology,5,Anthropology
ANTH006,Introduction to World Music,4,Anthropology
ANTH007,Introduction to Linguistic Anthropology,4,Anthropology
ANTH007S,Introduction to Linguistic Anthropology,5,Anthropology
ANTH010,Mysteries of the Ancient Maya,4,Anthropology
ANTH010S,Mysteries of the Ancient Maya,5,Anthropology
ANTH012,Great Discoveries in Archaeology,4,Anthropology
ANTH020,"Culture, Health, and Healing",4,Anthropology
ANTH020S,"Culture, Health and Healing",4,Anthropology
ANTH027,Art of Pre-Columbian America,4,Anthropology
ANTH050,Human Evolution,4,Anthropology
ANTH100,History of Anthropological Theory,4,Anthropology
ANTH100W,History of Anthropological Theory,4,Anthropology
ANTH101,Contemporary Anthropological Theory,4,Anthropology
ANTH103,Introduction to Visual Anthropology,4,Anthropology
ANTH103S,Intro to Visual Anthropology,5,Anthropology
ANTH104,Bioarchaeology,4,Anthropology
ANTH105,Organizations as Cultural Systems,4,Anthropology
ANTH106,Gender and Genocide,4,Anthropology
ANTH107,Evolution of the Capacity For Culture,4,Anthropology
ANTH108,Anthropology of Global Media,4,Anthropology
ANTH110,Prehistoric Agriculture,4,Anthropology
ANTH111,Peopling of the New World,4,Anthropology
ANTH112,Settlement Patterns and Locational Analysis,4,Anthropology
ANTH113,Ancient Households and Communities,4,Anthropology
ANTH114A,Lithic Technology I,4,Anthropology
ANTH114B,Lithic Technology II,4,Anthropology
ANTH114C,Lithic Analysis,4,Anthropology
ANTH115,(E-Z) Archaeological Interpretations,4,Anthropology
ANTH115E,North American Prehistory,4,Anthropology
ANTH115M,Prehistory of California,4,Anthropology
ANTH115R,Archaeology of Eastern Mesoamerica,4,Anthropology
ANTH115S,Archaeology of Western Mesoamerica,4,Anthropology
ANTH115T,Prehistory of the Southwest,4,Anthropology
ANTH115U,Andean Prehistory,4,Anthropology
ANTH115X,Ancient Oaxaca,4,Anthropology
ANTH117,Anthropology of Cities,4,Anthropology
ANTH118,Origins of Cities,4,Anthropology
ANTH119,The Anthropology of Tourism,4,Anthropology
ANTH120,Language and Culture,4,Anthropology
ANTH121,Anthropological Theories of the Arts,4,Anthropology
ANTH122,Economic Anthropology,4,Anthropology
ANTH123,Linguistic Anthropology,4,Anthropology
ANTH124,Ritual and Religion,4,Anthropology
ANTH125,Kinship and Family Organization,4,Anthropology
ANTH126,Southeast Asian Performance,4,Anthropology
ANTH127,Political Anthropology,4,Anthropology
ANTH127S,Political Anthropology,4,Anthropology
ANTH128,Performing Arts of Asia,4,Anthropology
ANTH129A,Introduction to Maya Hieroglyphs,4,Anthropology
ANTH129B,The Linguistics of Ancient Maya Writing,4,Anthropology
ANTH130,Ancient Pottery Analysis,4,Anthropology
ANTH131,Applied Anthropology,4,Anthropology
ANTH132,Cultural Ecology,4,Anthropology
ANTH133,Anthropology and International Development,4,Anthropology
ANTH134,The Will to Adorn Dress and Identity,4,Anthropology
ANTH135,The Archaeology of African Diaspora History and Culture,4,Anthropology
ANTH136,Anthropological Perspectives On Gender in Southeast Asia,4,Anthropology
ANTH136S,Anthropological Perspectives On Gender in Southeast Asia,5,Anthropology
ANTH137,Anthropology: the American Tradition,4,Anthropology
ANTH139,Change and Development,4,Anthropology
ANTH140,(E-Z) Ethnographic Interpretations,4,Anthropology
ANTH140E,Ethnology of the Greater Southwest,4,Anthropology
ANTH140G,Anthropological Perspectives in Africa,4,Anthropology
ANTH140I,Cultures of Southeast Asia,4,Anthropology
ANTH140P,Cultures of the Pacific,4,Anthropology
ANTH140S,The Peoples of Mexico in Historical and Global Perspective,4,Anthropology
ANTH142,(E-Z) Black and Black Diaspora Studies,4,Anthropology
ANTH142E,Blackness and Mass Incarceration,4,Anthropology
ANTH142F,Black Business Cultures and Identities,4,Anthropology
ANTH142G,Caribbean Culture and Society,4,Anthropology
ANTH142I,Afro-American Experience in the U.S.,4,Anthropology
ANTH142J,Political Economy of Southern Africa,4,Anthropology
ANTH144,(E-Z) Medical Anthropology Specialization,4,Anthropology
ANTH144E,Culture and Medicine,4,Anthropology
ANTH144F,"Gender, Race, and Medicine",4,Anthropology
ANTH144G,"Reproduction: Policies, Politics, and Practices",4,Anthropology
ANTH144I,Anthropology of Human Immunodeficiency Virus (HIV),4,Anthropology
ANTH144J,Biological Approaches to Medical Anthropology,4,Anthropology
ANTH144K,Drugs and Culture,4,Anthropology
ANTH144M,Political Economy of Health,4,Anthropology
ANTH144N,Anthropology of Global Health,4,Anthropology
ANTH144O,Anthropology of Bodies,4,Anthropology
ANTH145,Sexualities and Culture,4,Anthropology
ANTH149,"Gender, Kinship, and Social Change",4,Anthropology
ANTH151,The Art of the Aztec Empire,4,Anthropology
ANTH152,Evolution of the First Hominids,4,Anthropology
ANTH153,Evolution of the Genus Homo,4,Anthropology
ANTH155,Human Osteology,6,Anthropology
ANTH157,Visual Culture of the Incas,4,Anthropology
